ID,Language_ID,Form,Language,Parameter_ID,Value,Concept,Elicitation_phrase,,,,
,uuu-bangxie,,Bangxie,5,do,classifier for cow ,one cow ,,,,
,uuu-bangxie,,Bangxie,6,do,classifier for snake ,one snake ,,,,
,uuu-bangxie,,Bangxie,7,do,classifier for fish ,one fish ,,,,
,uuu-bangxie,,Bangxie,8,mu,classifier for hat ,one hat ,,,,
,uuu-bangxie,,Bangxie,9,pʰø,classifier for trousers ,one trousers ,,,,
,uuu-bangxie,,Bangxie,10,mu,classifier for shirt ,one shirt ,,,,
,uuu-bangxie,,Bangxie,11,gu ,classifier for chopstick (pair) ,one chopstick (pair) ,,,,
,uuu-bangxie,,Bangxie,12,mu,classifier for chopstick (single) ,one chopstick (single) ,,,,
,uuu-bangxie,,Bangxie,13,gu,classifier for shoe (pair),one shoe (pair),,,,
,uuu-bangxie,,Bangxie,14,kʰɔn,classifier for shoe (single),one shoe (single),,,,
,uuu-bangxie,,Bangxie,15,mu,classifier for cushion ,one cushion ,,,,
,uuu-bangxie,,Bangxie,16,mu,classifier for flower ,one flower ,,,,
,uuu-bangxie,,Bangxie,17,mu,classifier for tree ,one tree ,,,,
,uuu-bangxie,,Bangxie,18,glʌŋ,classifier for house,one house,,,,
,uuu-bangxie,,Bangxie,19,mu,classifier for table ,one table ,,,,
,uuu-bangxie,,Bangxie,20,ŋən,classifier for chair ,one chair ,,,,
,uuu-bangxie,,Bangxie,21, sɪ,classifier for pen ,one pen ,,,,
,uuu-bangxie,,Bangxie,22,mu,classifier for spoon ,one spoon ,,,,
,uuu-bangxie,,Bangxie,23,mu,classifier for noodle ,one noodle ,,,,
,uuu-bangxie,,Bangxie,24,lɛ,classifier for leaf ,one leaf ,,,,
,uuu-bangxie,,Bangxie,25,mu,classifier for room ,one room ,,,,
,uuu-bangxie,,Bangxie,26,i,classifier for person ,one person ,,,,
,uuu-bangxie,,Bangxie,27,i,classifier for teacher ,one teacher ,,,,
,uuu-bangxie,,Bangxie,28, mu,classifier for spider ,one spider ,,,,
,uuu-bangxie,,Bangxie,29,ŋən,classifier for stone ,one stone ,,,,
,uuu-bangxie,,Bangxie,30,mu,classifier for boat ,one boat ,,,,
,uuu-bangxie,,Bangxie,31,ngən,classifier for banana ,one banana ,,,,
,uuu-bangxie,,Bangxie,32,ngən,classifier for papaya,one papaya,,,,
,uuu-bangxie,,Bangxie,33,mu,classifier for cloud ,one cloud ,,,,
,uuu-bangxie,,Bangxie,34, kʰɔn,classifier for hand ,one hand ,,,,
,uuu-bangxie,,Bangxie,35,mu,classifier for finger ,one finger ,,,,
,uuu-bangxie,,Bangxie,36,mu,classifier for leg ,one leg ,,,,
,uuu-bangxie,,Bangxie,37,glʌŋ,classifier for car ,one car ,,,,
,uuu-bangxie,,Bangxie,38,mu,classifier for door ,one door ,,,,
,uuu-bangxie,,Bangxie,39,mu,classifier for picture ,one picture ,,,,
,uuu-bangxie,,Bangxie,40,ngən,classifier for grain of rice ,one grain of rice ,,,,
,uuu-bangxie,,Bangxie,41,lɛ ,classifier for tea leaf ,one tea leaf ,,,,
,uuu-bangxie,,Bangxie,42,d͡ʒɔŋ,classifier for cup of tea ,one cup of tea ,,,,
,uuu-bangxie,,Bangxie,43,d͡ʒɔŋ,classifier for cup of water ,one cup of water ,,,,
,uuu-bangxie,,Bangxie,44,flɛ,classifier for bowl of rice ,one bowl of rice ,,,,
,uuu-bangxie,,Bangxie,45,mu,classifier for bed ,one bed ,,,,
,uuu-bangxie,,Bangxie,46,mu,classifier for fan ,one fan ,,,,
,uuu-bangxie,,Bangxie,47,ŋən,classifier for light (bulb) ,one light (bulb) ,,,,
,uuu-bangxie,,Bangxie,48,mu,classifier for ball,one ball,,,,
,uuu-bangxie,,Bangxie,49,do,classifier for elephant,one elephant,,,,
,uuu-bangxie,,Bangxie,50,glʌŋ,classifier for king,one king,,,,
,uuu-bangxie,,Bangxie,51,i,classifier for aeroplane,one aeroplane,,,,
,uuu-bangxie,,Bangxie,52,mu,classifier for tiger,one tiger,,,,
,uuu-bangxie,,Bangxie,53,mu,classifier for kettle,one kettle,,,,
,uuu-bangxie,,Bangxie,54,mu,classifier for drum,one drum,,,,
,uuu-bangxie,,Bangxie,55,ŋən,classifier for egg,one egg,,,,
,uuu-bangxie,,Bangxie,56,ŋən,classifier for eye ,one eye ,,,,
